continent,country,state,date_accessed,source_url
north america,united states,arkansas,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/arkansas
north america,united states,california,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/california
north america,united states,colorado,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/colorado
north america,united states,connecticut,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/connecticut
north america,united states,delaware,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/delaware
north america,united states,district of columbia,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/district-of-columbia
north america,united states,florida,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/florida
north america,united states,georgia,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/georgia
north america,united states,hawaii,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/hawaii
north america,united states,idaho,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/idaho
north america,united states,illinois,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/illinois
north america,united states,indiana,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/indiana
north america,united states,iowa,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/iowa
north america,united states,kansas,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/kansas
north america,united states,kentucky,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/kentucky
north america,united states,louisiana,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/louisiana
north america,united states,maine,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/maine
north america,united states,maryland,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/maryland
north america,united states,massachusetts,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/massachusetts
north america,united states,michigan,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/michigan
north america,united states,minnesota,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/minnesota
north america,united states,mississippi,20251207000000,https://news-ca.churchofjesuschrist.org/facts-and-statistics/province/mississippi
